Emenda;Autor
EMC 368/2017 PL678716 => PL 6787/2016;Major Olimpio
EMC 369/2017 PL678716 => PL 6787/2016;Major Olimpio
EMC 370/2017 PL678716 => PL 6787/2016;Major Olimpio
EMC 371/2017 PL678716 => PL 6787/2016;Major Olimpio
EMC 372/2017 PL678716 => PL 6787/2016;Major Olimpio
EMC 373/2017 PL678716 => PL 6787/2016;Major Olimpio
EMC 374/2017 PL678716 => PL 6787/2016;Major Olimpio
EMC 375/2017 PL678716 => PL 6787/2016;Major Olimpio
EMC 376/2017 PL678716 => PL 6787/2016;Major Olimpio
EMC 377/2017 PL678716 => PL 6787/2016;Major Olimpio
EMC 378/2017 PL678716 => PL 6787/2016;Major Olimpio
EMC 379/2017 PL678716 => PL 6787/2016;Major Olimpio
EMC 380/2017 PL678716 => PL 6787/2016;Major Olimpio
EMC 381/2017 PL678716 => PL 6787/2016;Major Olimpio
EMC 382/2017 PL678716 => PL 6787/2016;Major Olimpio
EMC 383/2017 PL678716 => PL 6787/2016;André Figueiredo
EMC 384/2017 PL678716 => PL 6787/2016;André Figueiredo
EMC 385/2017 PL678716 => PL 6787/2016;André Figueiredo
EMC 386/2017 PL678716 => PL 6787/2016;Alberto Fraga
EMC 387/2017 PL678716 => PL 6787/2016;Gorete Pereira
EMC 388/2017 PL678716 => PL 6787/2016;Paulo Teixeira
EMC 389/2017 PL678716 => PL 6787/2016;João Gualberto
EMC 390/2017 PL678716 => PL 6787/2016;João Gualberto
EMC 391/2017 PL678716 => PL 6787/2016;João Gualberto
EMC 392/2017 PL678716 => PL 6787/2016;João Gualberto
EMC 393/2017 PL678716 => PL 6787/2016;João Gualberto
EMC 394/2017 PL678716 => PL 6787/2016;João Gualberto
EMC 395/2017 PL678716 => PL 6787/2016;João Gualberto
EMC 396/2017 PL678716 => PL 6787/2016;João Gualberto
EMC 397/2017 PL678716 => PL 6787/2016;João Gualberto
EMC 398/2017 PL678716 => PL 6787/2016;João Gualberto
EMC 399/2017 PL678716 => PL 6787/2016;João Gualberto
EMC 400/2017 PL678716 => PL 6787/2016;João Gualberto
EMC 401/2017 PL678716 => PL 6787/2016;Celso Maldaner
EMC 402/2017 PL678716 => PL 6787/2016;Celso Maldaner
EMC 403/2017 PL678716 => PL 6787/2016;Celso Maldaner
EMC 404/2017 PL678716 => PL 6787/2016;Celso Maldaner
EMC 405/2017 PL678716 => PL 6787/2016;Gorete Pereira
EMC 406/2017 PL678716 => PL 6787/2016;Gorete Pereira
EMC 407/2017 PL678716 => PL 6787/2016;Darcísio Perondi
