Edifícios Dallas Office Center e Houston Office Center;2012-01-06;1;500;500; 118560; 9.88; 9.88;6911;7792;6488
Associação Atlética Ferroviária;2011-12-27;2;500;500; 136800; 5.70; 5.70;6635;7234;9453
Alsco Toalheiros Brasil;2011-12-30;2;2500;3200; 1339392; 8.72; 8.72;37839;27478;27990
PEEQFLEX Industria e Comercio Ltda;2012-01-20;5;1300;1300; 1450800; 9.30; 9.30;;;
Condomínio Edifício Andraus;2012-01-13;1;1456;1300; 290160; 9.30; 9.30;;14383;18676
Manikraft Guaianazes Indústria de Celulose e Papel Ltda ;2012-01-01;1;1045;750; 88920; 9.88;;;12540;19126
Condomínio Villa Lobos Office Park;2012-02-08;1;3000;3000; 627840; 8.72; 8.72;35572;40898;51314
Companhia Nitroquímica Brasileira;2012-01-26;1;1300;1300; 145080; 9.30;;27629;34550;22471
Construtora Know How Ltda;2012-02-10;1;720;720; 170726; 9.88; 9.88;10175;12056;10578
Ericsson Telecomunicações SA;2012-02-23;1;3000;3000; 313920; 8.72;;41101;37420;27877
Condomínio Edifício Chrysler;2012-02-25;1;1100;1100; 245520; 9.30; 9.30;10389;12865;9380
Condomínio Edifício Cambuí;2012-02-27;1;500;500; 118560; 9.88; 9.88;6128;7028;6132
Rádio e Televisão Record SA;2012-02-23;1;2265;1500; 334800; 9.30; 9.30;;25036;28956
Condomínio Edifício International Plaza;2012-02-28;1;1100;1100; 245520; 9.30; 9.30;13857;17207;16155
Etna Comércio de Móveis e Artigos para Decoração Ltda;2012-02-29;5;1100;1100; 1227600; 9.30; 9.30;;;
Anis Razuk Indústria Comércio Ltda;2012-03-19;1;1024;1024; 228557; 9.30; 9.30;11635;13947;7499
Camil Alimentos SA;2012-04-09;1;1001;1001; 223423; 9.30; 9.30;8601;13353;11783
Jordanésia Empreendimentos Imobiliários Ltda;2012-03-30;1;1001;1001; 111712; 9.30;;10071;15891;12592
Condomínio Edifício Avenida Brigadeiro Faria Lima ;2012-04-18;1;2540;2540; 566928; 9.30; 9.30;27009;36846;35169
Condomínio Edifício The Empire State Faria Lima Hotel & Convention;2012-04-24;1;1020;872; 206769; 9.88; 9.88;;12240;10045
Hotel Marco Internacional SA;2012-04-17;1;1200;1200; 267840; 9.30; 9.30;11605;16582;13036
Condomínio Edifício Epura;2012-04-17;1;534;534; 126622; 9.88; 9.88;4412;6821;5431
Condomínio Edifício Shopping Lousã;2012-04-25;1;635;635; 150571; 9.88; 9.88;6742;9006;7897
Editora Moderna Ltda;2012-04-25;1;600;600; 142272; 9.88; 9.88;5807;9515;13608
Colgate-Palmolive Industrial Ltda;2011-11-08;5;13000;13000; 7060680; 6.91;;131719;228334;221930
Universo Online SA - UOL;2012-05-02;1;669;669; 158633; 9.88; 9.88;7730;12520;10216
Química Industrial Fides S/A;2012-04-24;1;500;500; 118560; 9.88;;;;
Condomínio Bolsa de Mercadorias ;2012-05-18;1;850;850; 201552; 9.88; 9.88;7926;13935;13396
Vila Country Maclemon Ltda;2012-05-10;1;1300;1300; 290160; 9.30; 9.30;10139;20322;14601
Alcatel-Lucent Brasil SA;2012-05-08;1;1100;1100; 245520; 9.30; 9.30;9052;14303;17915
Indústria Gráfica Foroni Ltda;2012-05-22;1;1515;1650; 368280; 9.30; 9.30;;10076;16011
Fundação Bienal de São Paulo;2012-05-09;1;650;650; 154128; 9.88; 9.88;7668;8608;8997
Hospital Geral do Pedreira;2012-06-01;5;3600;3600; 3767040; 8.72; 8.72;;29872;52910
Edifício JK Financial Center ;2012-06-08;1;871;871; 206532; 9.88; 9.88;6618;7922;8715
Condomínio Edifício Henrique Schaumann;2012-06-04;1;1260;1260; 281232; 9.30; 9.30;11359;20403;21126
Associação Brasileira d'A Igreja de Jesus Cristo dos Santos dos Últimos Dias;2012-05-25;1;1400;1400; 312480; 9.30; 9.30;13312;19710;21404
