Utinga;BA;18.367;0;0,0;2620
Valente;BA;25.342;0;0,0;2620
Várzea Nova;BA;12.910;0;0,0;2620
Wanderley;BA;12.356;0;0,0;2620
Abaíra;BA;8.659;0;;
Aiquara;BA;4.536;0;;
Almadina;BA;6.130;1;;
Apuarema;BA;7.397;2;;
Aratuípe;BA;8.632;1;;
Barra do Rocha;BA;6.038;0;;
Barro Preto;BA;6.122;7;;
Canápolis;BA;9.395;0;;
Candeal;BA;8.720;0;;
Caraíbas;BA;9.879;0;;
Cardeal da Silva;BA;9.030;2;;
Catolândia;BA;3.215;0;;
Caturama;BA;8.817;0;;
Contendas do Sincorá;BA;4.613;1;;
Cordeiros;BA;8.245;0;;
Cravolândia;BA;5.048;0;;
Dom Macedo Costa;BA;3.894;0;;
Elísio Medrado;BA;7.961;2;;
Feira da Mata;BA;6.177;0;;
Firmino Alves;BA;5.417;1;;
Gavião;BA;4.510;1;;
Gongogi;BA;8.031;1;;
Guajeru;BA;9.182;0;;
Ibiassucê;BA;9.607;0;;
Ibiquera;BA;4.874;0;;
Ibirapuã;BA;8.086;3;;
Ichu;BA;5.908;0;;
Ipupiara;BA;9.398;2;;
Irajuba;BA;7.046;2;;
Itagimirim;BA;7.013;5;;
Itaju do Colônia;BA;7.118;2;;
Itamari;BA;7.836;0;;
Itanagra;BA;7.590;2;;
Itaquara;BA;7.751;2;;
Jaborandi;BA;8.728;1;;
Jucuruçu;BA;9.972;5;;
Jussari;BA;6.322;3;;
Jussiape;BA;7.533;4;;
Lafaiete Coutinho;BA;3.830;0;;
Lajedão;BA;3.782;0;;
Lajedinho;BA;3.881;1;;
Lajedo do Tabocal;BA;8.346;0;;
Lamarão;BA;9.271;0;;
Macururé;BA;7.992;1;;
Maetinga;BA;6.048;0;;
Maiquinique;BA;9.229;2;;
Malhada de Pedras;BA;8.389;0;;
Mirante;BA;9.902;0;;
Morpará;BA;8.233;0;;
Muniz Ferreira;BA;7.374;0;;
Nova Fátima;BA;7.630;2;;
Nova Ibiá;BA;6.570;0;;
Nova Itarana;BA;7.563;1;;
Nova Redenção;BA;8.053;0;;
Ouriçangas;BA;8.316;0;;
Palmeiras;BA;8.545;0;;
Pedrão;BA;6.993;0;;
Piraí do Norte;BA;9.833;1;;
Planaltino;BA;8.944;1;;
Potiraguá;BA;9.360;3;;
Quixabeira;BA;9.514;1;;
Rodelas;BA;8.045;4;;
Santa Cruz da Vitória;BA;6.481;2;;
Santa Teresinha;BA;9.792;3;;
Santanópolis;BA;8.835;3;;
São Domingos;BA;9.266;1;;
São José da Vitória;BA;5.609;3;;
Tanquinho;BA;8.035;1;;
Teodoro Sampaio;BA;7.746;3;;
Várzea do Poço;BA;8.759;1;;
Varzedo;BA;8.987;0;;
Vereda;BA;6.681;1;;
Wagner;BA;8.985;0;;
Eusébio;CE;47.993;43;89,6;36
Itaitinga;CE;36.814;32;86,9;39
Barbalha;CE;56.576;44;77,8;56
Fortaleza;CE;2.500.194;1920;76,8;60
Tabuleiro do Norte;CE;29.522;22;74,5;66
Aquiraz;CE;74.465;54;72,5;73
Horizonte;CE;58.418;42;71,9;77
Jaguaribara;CE;10.652;7;65,7;112
Quixeré;CE;20.810;13;62,5;132
Senador Pompeu;CE;26.382;16;60,6;155
Maracanaú;CE;213.404;126;59,0;173
Pacajus;CE;64.521;37;57,3;182
Juazeiro do Norte;CE;255.648;143;55,9;203
